Velocity:0,Velocity:1,Velocity:2,vtkGhostType,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
5,0,0,0,1,-20,-130,0,0.025
5,0,0,0,1,-19.78,-129.78,0,0.025
5,0,0,0,1,-19.56,-129.56,0,0.025
5,0,0,0,1,-19.34,-129.34,0,0.025
5,0,0,0,1,-19.12,-129.12,0,0.025
5,0,0,0,1,-18.9,-128.9,0,0.025
5,0,0,0,1,-18.68,-128.68,0,0.025
5,0,0,0,1,-18.46,-128.46,0,0.025
5,0,0,0,1,-18.24,-128.24,0,0.025
5,0,0,0,1,-18.02,-128.02,0,0.025
5,0,0,0,1,-17.8,-127.8,0,0.025
5,0,0,0,1,-17.58,-127.58,0,0.025
5,0,0,0,1,-17.36,-127.36,0,0.025
5,0,0,0,1,-17.14,-127.14,0,0.025
5,0,0,0,1,-16.92,-126.92,0,0.025
5,0,0,0,1,-16.7,-126.7,0,0.025
5,0,0,0,1,-16.48,-126.48,0,0.025
5,0,0,0,1,-16.26,-126.26,0,0.025
5,0,0,0,1,-16.04,-126.04,0,0.025
5,0,0,0,1,-15.82,-125.82,0,0.025
5,0,0,0,1,-15.6,-125.6,0,0.025
5,0,0,0,1,-15.38,-125.38,0,0.025
5,0,0,0,1,-15.16,-125.16,0,0.025
5,0,0,0,1,-14.94,-124.94,0,0.025
5,0,0,0,1,-14.72,-124.72,0,0.025
5,0,0,0,1,-14.5,-124.5,0,0.025
5,0,0,0,1,-14.28,-124.28,0,0.025
5,0,0,0,1,-14.06,-124.06,0,0.025
5,0,0,0,1,-13.84,-123.84,0,0.025
5,0,0,0,1,-13.62,-123.62,0,0.025
5,0,0,0,1,-13.4,-123.4,0,0.025
5,0,0,0,1,-13.18,-123.18,0,0.025
5,0,0,0,1,-12.96,-122.96,0,0.025
5,0,0,0,1,-12.74,-122.74,0,0.025
5,0,0,0,1,-12.52,-122.52,0,0.025
5,0,0,0,1,-12.3,-122.3,0,0.025
5,0,0,0,1,-12.08,-122.08,0,0.025
5,0,0,0,1,-11.86,-121.86,0,0.025
5,0,0,0,1,-11.64,-121.64,0,0.025
5,0,0,0,1,-11.42,-121.42,0,0.025
5,0,0,0,1,-11.2,-121.2,0,0.025
5,0,0,0,1,-10.98,-120.98,0,0.025
5,0,0,0,1,-10.76,-120.76,0,0.025
5,0,0,0,1,-10.54,-120.54,0,0.025
5,0,0,0,1,-10.32,-120.32,0,0.025
5,0,0,0,1,-10,-120,0,0.025
5,0,0,0,1,-9.78,-119.78,0,0.025
5,0,0,0,1,-9.56,-119.56,0,0.025
5,0,0,0,1,-9.34,-119.34,0,0.025
5,0,0,0,1,-9.12,-119.12,0,0.025
5,0,0,0,1,-8.9,-118.9,0,0.025
5,0,0,0,1,-8.68,-118.68,0,0.025
5,0,0,0,1,-8.46,-118.46,0,0.025
5,0,0,0,1,-8.24,-118.24,0,0.025
5,0,0,0,1,-8.02,-118.02,0,0.025
5,0,0,0,1,-7.8,-117.8,0,0.025
5,0,0,0,1,-7.58,-117.58,0,0.025
5,0,0,0,1,-7.36,-117.36,0,0.025
5,0,0,0,1,-7.14,-117.14,0,0.025
5,0,0,0,1,-6.92,-116.92,0,0.025
5,0,0,0,1,-6.7,-116.7,0,0.025
